mS#theme	S#title	S#text	cC#comp1	iC#comp2	iC#comp3	iC#comp4	iC#comp5
"bandido bom e bandido morto?"	"bandido: problema cultural brasileiro"	"atualmente com a precariedade na seguranca publica e codigo penal defasado, parte da populacao enxergam na policia a unica alternativa para acabar com a criminalidade. no entanto e preciso ter cautela, pois nem sempre o bandido e aquele que mora na favela. e correto que o agente, representante da lei, mate em defesa da propria vida. a exemplo da ocupacao da vila canario e do complexo do alemao no rio de janeiro em novembro de 2010, onde os policiais foram obrigados a revidar contra a resistencia armada de bandidos. entretanto, tem policial que desmoraliza a imagem da corporacao, e comum noticiarios de policiais envolvidos no crime. contudo a criacao de grupos de exterminio e o mais grave cometidos por esses agentes fora da lei, porque alem de matar inocentes e uma clara violacao aos direitos individuais garantidos na constituicao de 1988. o cidadao civil ou politico que pratica algum tipo de ilicito tambem fazem parte dessa classe de bandidos. este o mais grave, pois afetam de uma unica vez milhares de pessoas. evidencia-se, portanto, a necessidade de politicas publicas , com o apoio da midia, valorizando a boa cultura. esta seria a melhor arma no combate ao crime, pois alcancaria todos os segmentos da criminalidade."	1.00	1.00	0.50	0.50	0.50
"direitos em conflito: liberdade de expressao e intimidade"	"liberdade com responsabilidade"	"a constituicao federal brasileira assegura aos cidadaos direito a informacao a partir de diferentes e variadas fontes que garanta as liberdades de expressao e de imprensa. tambem assegura que tudo que for relacionado a vida privada, intimidade, honra e imagem so dizem respeito a pessoa ou a quem ela autorizar. porem, o que fazer quando esses direitos entram em conflito? quando ha conflito entre direitos como o de a liberdade de expressao e a inviolabilidade da intimidade do cidadao, e necessario analisar cada caso com muita cautela, para que nao se cometa nenhuma injustica. no entanto, sempre que for possivel, a justica deve prevalecer a liberdade de expressao sobre o direito a privacidade, pois o brasil e um pais democratico, onde todos os cidadaos tem direito de expor suas opinioes e tambem serem informados sem manipulacoes e censuras, para que assim a populacao tenha informacoes suficientes para tirarem suas proprias conclusoes. contudo, a liberdade de expressao nem sempre prepondera. entre tantos exemplos tem-se de um ex-presidiario que entrou com uma liminar para impedir que um programa de televisao local transmitisse um documentario sobre o crime que ele cometera, o pedido foi negado, porem o ex-detento recorreu ao tribunal alegando que o documentario prejudicaria a sua ressocializacao. assim, ele conseguiu um acordo: a historia do crime seria contada porem, seu nome e sua imagem nao apareceriam no video. nesse caso, o direito de intimidade prevaleceu ao de liberdade de expressao, mesmo sendo um caso publico, pois a exposicao que ele sofreria iria prejudica-lo ainda mais na sua reintegracao. e necessario frisar, por outro lado que muitas pessoas cometem equivocos em nome da liberdade de expressao, como os nordestinos que sao frequentemente satirizados em piadas de mau gosto por comediantes.todos tem direito e liberdade de manifestar suas ideias e pensamentos, mas e necessario agir com etica, bom senso e respeito para com o proximo, para que nao ocorra ofensas e desentendimentos. diante disso, a liberdade de expressao tem limites, por isso e necessario que cada individuo exteriorize sua ideias e opinioes com prudencia e sensatez para nao violar a intimidade do outro. assim, quando houver conflito entre os direitos a justica deve, sempre que for concebivel , preferir a liberdade de expressao para que essa nao seja censurada, visto que em um pais democratico como o brasil ela e fundamental, por isso deve ser valorizada sempre."	1.50	2.00	1.50	1.50	1.00
"perigos do universo digital"	"a importancia da intervencao dos pais na vida virtual"	"com a expansao do universo digital e com a facilidade de conseguir informacoes em questao de segundos, surgiram tambem muitos problemas relacionados ao bullying, a invasao de privacidade, ao facil acesso de material pornografico no meio virtual. e se nao for feito nada a respeito , o problema continuara se agravando cada vez mais. sem a intervencao dos pais, muitos jovens praticam atividades inapropriadas na internet, como compartilhar videos pornograficos, praticar bullying, e, ate mesmo, hackear o computador de suas vitimas e roubar informacoes pessoais entre diversas coisas que tambem sao ilicitas. a adolescencia e um periodo de transicao entre a infancia e a vida adulta, um adolescente ainda nao compreende o mundo que estara lhe sendo proposto, ou seja, a privacidade ainda e algo que lhe deveria ser proposta apenas na vida adulta, ja que a fase adolescente e uma fase de ensinamentos , nao e recomendavel que um jovem tenha uma vida virtual e social oculta, pois e muito importante a colaboracao dos pais para solucionar seus problemas e lhe dar alguns conselhos, broncas e corretivos (os jovens tambem devem se responsabilizar pelos seus atos!). em suma, a intervencao dos pais e necessaria para evitar tais atividades, assim haverao menos problemas tanto para os pais quanto para os filhos, pois deve-se educar os jovens hoje para nao sofrermos mas consequencias no futuro."	1.00	1.00	1.00	1.00	1.00
"direitos em conflito: liberdade de expressao e intimidade"	"entre direitos individuais e escandalos politicos"	"os direitos fundamentais contidos na constituicao federal nao sao absolutos, salvo algumas excecoes conflitantes entre especialistas, o que abre margem para discussoes em casos em que ha convergencia de direitos. esse e o caso da decisao judiciaria aplicada aos jornais para a remocao das publicacoes que fizeram sobre o caso de marcela temer e do hacker, cuja repercussao se estabeleceu no impasse sobre quais direitos teriam prioridade: liberdade de expressao ou inviolabilidade da intimidade. em uma primeira analise a inviolabilidade da intimidade teria prioridade sobre a liberdade de expressao, pois as formas midiaticas, a atividade artistica, a musica, etc. nao necessitam de autorizacao para exercerem suas atividades, desde que nao interfiram nos direitos de terceiros. entretanto, quem e contra a decisao judiciaria afirma que a ordem se trata de uma forma de censura, pois as imagens divulgadas do caso foram retiradas do processo judiciario publico – isto e, qualquer pessoa tem o direito de acessar – e abordam tema de interesse social. nessa disputa de censura ou violacao da intimidade, observa-se que ha interesse politico, pois as informacoes atingem diretamente o atual presidente do brasil, michel temer, o que prejudicaria sua reputacao. entao chega-se ha outra questao pertinente a populacao: ate que ponto sao veridicas as alegacoes do hacker, sendo ele um criminoso ou nao. afinal, os fragmentos de texto propagados na internet sao dispersos e pouco se pode concluir, mas se ha crime por de traz das acoes do presidente temer, e necessario que haja investigacao policial. por conseguinte, conclui-se que houve censura por parte da decisao para minimizar futuros constrangimentos a temer. mas, sendo este uma figura publica, o caso diz respeito aos brasileiros, que nao podem ser vendados diante dos diversos casos de corrupcao envolvendo politicos. inegavelmente, o ato de hackear e crime, e o executor desse caso esta pagando sua pena, mas deveria ser aberto um novo processo – em segredo de justica, para que nao haja a inviolabilidade da imagem da pessoa – para descobrirem se existe ou nao marqueteiro(s) a trabalho para o atual presidente da republica, pois a justica deve ter prioridade sobre qualquer direito individual."	1.00	2.00	1.50	1.00	1.00
"por que o brasil nao consegue vencer o aedes aegypti?"	"nao e apenas dengue"	"e possivel afirmar que a invencibilidade do mosquito transmissor se da pela negligencia da populacao quando se trata da prevencao do mesmo, ocasionando na proliferacao do mosquito transmissor causador de varias doencas como: a dengue, a chikungunya e a febre zika, podemos perceber que o aumento de violencia no pais nos ultimos anos acabou trazendo consigo o medo da populacao de deixarem funcionarios do governo que combatem o mosquito entrarem em suas residencias. segundo kant, o homem nao e nada alem do que a educacao faz dele. hoje no brasil, a irresponsabilidade esta presente na vida cotidiana, a falta de educacao em prol da conscientizacao sobre doencas causadas por mosquitos e a falta de informacao por uma parte da populacao acaba tornando um pequeno mosquito em um grande problema. dessa forma, o aumento da violencia influencia diretamente no combate ao transmissor principalmente em grandes capitais onde ocorrem casos de criminosos se vestirem de funcionarios publicos que combatem o mosquito para adentrar as casas e furta-las . e essencial, portanto, que o governo invista na educacao como medida em que a informacao chegue a todos, podendo entender a real importancia de tomar cuidados especificos para que nao haja contaminacoes e pontualmente a conscientizacao de familias em consonancia com ongs. desse modo, fica mais evidente que gandhi estava correto ao dizer: temos de nos tornar na mudanca que queremos ver."	0.50	0.50	0.50	0.50	0.50
"escola no brasil: com partido ou sem partido?"	"escola sem senso critico"	"em meio a recente polarizacao politica, um debate vem ganhando relevancia, o da escola sem partido. o projeto, segundo seus autores, tem como objetivo libertar o sistema de ensino da doutrinacao esquerdista e da ideologia de genero. no entanto, e ironico que um projeto que diz defender uma escola livre traga como resultado uma maior restricao ao sistema de ensino e um declinio ainda maior da relevancia da escola como local de conhecimento. o projeto, apoiado pelas partes mais conservadoras da sociedade, traz como discurso a criacao de uma educacao neutra, o problema no entanto e que tal ideal nao pode ser alcancado, tal visao imparcial nada mais e do que uma defesa do conformismo e manutencao do status-quo. a partir dessa ideia vaga e criada uma linha tenue do que pode ser ensinado e o que nao pode. o que ali e ideologia e o que ali sao fatos? o que ali pode estar atacando os valores morais ou religiosos de determinado aluno? nesse espaco aberto a interpretacoes, encontra-se um constante policiamento e controle de qualquer discurso minimamente critico. a escola sem partido, portanto, nao tem como objetivo livrar a educacao de qualquer ideologia, mas permitir o perpetuamento de ideias defasadas e atrasadas. usando de um discurso histerico e hiperbolico uma camada da sociedade defende seus ideias conservadores, impedindo que estes entrem em atrito ou sejam debatidos na escola, um ambiente em que o senso critico deve ser deixado em casa."	2.00	2.00	2.00	2.00	2.00
"terceirizacao: avanco ou retrocesso?"	"terceirizacao do trabalho"	"a terceirizacao do trabalho tem sido um tema bastante discutido atualmente. segundo o presidente do tribunal regional do trabalho, wilson fernandes, com a aprovacao da lei havera uma grande precarizacao do trabalho. se com as leis e direitos que temos hoje com a clt, muitos trabalhadores ja se sentem pouco favorecidos, com a terceirizacao do trabalho esses direitos seriam praticamente desconsiderados, ou seja, terceirizar seria o mesmo que abrir mao de direitos como ferias anuais remuneradas e dsr, direitos outrora conquistados. entretanto, enquanto uns se prejudicariam com a terceirizacao, outros se beneficiariam com ela , como as empresas que poderiam dispensar 10 funcionarios e contratar outros 10, atraves de uma empresa terceirizada, com o salario inferior ao anterior e sem seus direitos trabalhistas, aumentando assim seu lucro. portanto, medidas sao necessarias para resolver o impasse. em parceria com as empresas e sindicatos, o ministerio do trabalho deve discutir medidas que nao venham a afetar os direitos dos trabalhadores, bem como a reducao do salario dos mesmos, mantendo assim o equilibrio entre empregado e empregador."	1.00	1.00	1.00	1.00	1.00
"estupro: como prevenir esse crime?"	"estupro: de quem e a culpa?"	"o estupro e um crime em que a vitima tem o constrangimento de ser forcada a ter relacoes sexuais por meio de violencia e ate mesmo sob ameacas. este tipo de crime tortura a vitima tanto fisicamente quanto psicologicamente, quando em alguns casos nao levados a morte. e quando sobrevivem a tal ato de covardia, as marcas que sao deixadas serao carregadas ao longo da vida . a vergonha, e a inibicao sexual, sao caracteristicas psicologicas causadas pelo estupro, em que se desvirtua toda a vida da vitima. mas de quem e a culpa? muitas pessoas tem uma nocao erronea de que a culpa e da mulher, por exemplo, quando ela sai as ruas sozinha, quando usam roupas curtas ou cor da pele e quando possuem uma condicao de vida diferente dos padroes socialmente adequados, em que, ela estaria praticamente pedindo para que o ato ocorresse . desse modelo, como disse kurt cobain “estupro e um dos crimes mais terriveis da terra. o problema dos grupos que lidam com o estupro e que eles tentam ensinar as mulheres como se defenderem. enquanto que o o que precisa ser feito e ensinar aos homens a nao estuprarem". observa-se que a sociedade ainda esta presa na culpabilizacao da vitima, tornando o processo de reducao do indice de abuso contra a mulher mais lento, pois as proprias mulheres violentadas se sentem na posicao de culpa, na qual torna-se um dos motivos para que elas nao procurem a justica. contudo, e necessario que crie-se novas leis com penas mais severas para que os estupradores, paguem realmente pelo mal que fizeram a sua vitima, assim, nao prolongando mais o problema justificando seus erros colocando a culpa na mulher, pois com o tempo perdido procurando justificativa ou o culpado, mais pessoas sao traumatizadas com o estupro ou mais vidas se perdem."	1.00	1.00	0.50	0.50	0.50
"artes e educacao fisica: opcionais ou obrigatorias?"	"corpo em movimento"	"atividades fisicas e muito mais do que podemos fazer com o nosso corpo. e cuidar da saude mas tambem se prevenir de doencas como diabetes, cardiacas, pressao alta e muitas outras causadas pelo excesso de peso. e pensando no bem de nossas criancas e adolescentes que temos que falar sobre essa materia que apesar de nao ser cobrada pelos orgaos publicos temos o direito de querer fazer do nosso corpo um bem preciosos para a nossa saude mente e coracao. por isso que nosso corpo tem que estar em movimento seja pulando, correndo, andando nadando ou dancado , como vc preferir nao importa o importante e estar saudavel e sentir se bem entao pense no bem estar que uma atividade fisica tras pra vc . e isso e pratique esporte porque ele salva vidas."	0.00	0.00	0.50	0.50	0.00
"por que o brasil nao consegue vencer o aedes aegypti?"	"dura batalha"	”"mudaram as estacoes, nada mudou...". esse e um trecho da musica “por enquanto” de cassia eller, que pode muito bem retratar o combate ao mosquito aedes aegypti no brasil. passaram-se anos e a sensacao e de derrota, pois pouco evolui nesse cenario. um dos fatores para isso, e a cooperacao da populacao. nao seguem as recomendacoes para evitarem agua parada na sua moradia, jogam lixo na rua ou evitam a fiscalizacao dos orgaos. alem disso, as medidas sao sempre as mesmas. fiscalizacoes, cartilhas, campanhas etc. se apos longos periodos aplicando o mesmo “remedio” nao surtiu efeito, o que e sensato: aumentar a dosagem ou muda-lo? certamente, mudar. outro ponto importante e a nulidade da pesquisa cientifica nesse campo. ate o momento nao foi desenvolvida uma vacina ou meios menos caseiros de evitar a contaminacao em locais com maior incidencia, como nas residencias. deste modo, seria interessante considerar fiscalizacoes agendadas nas casas, evitando o desencontro. e premiacoes ao desenvolvimento cientifico na area, incentivando melhores propostas nesse debate."	0.50	1.00	0.50	1.00	0.50
