iS#theme	mS#title	S#text	iD#score	cD#comp1	iD#comp2	iD#comp3	iD#comp4	iD#comp5
"Bandido bom é bandido morto?"	"Bandido: problema cultural brasileiro"	"Atualmente com a precariedade na segurança pública e código penal defasado, parte da população enxergam na polícia a única alternativa para acabar com a criminalidade. No entanto é preciso ter cautela, pois nem sempre o bandido é aquele que mora na favela. É correto que o agente, representante da lei, mate em defesa da própria vida. A exemplo da ocupação da Vila Canário e do complexo do alemão no Rio de Janeiro em Novembro de 2010, onde os policiais foram obrigados a revidar contra a resistência armada de bandidos. Entretanto, tem policial que desmoraliza a imagem da corporação, é comum noticiários de policiais envolvidos no crime. Contudo a criação de grupos de extermínio é o mais grave cometidos por esses agentes fora da lei, porque além de matar inocentes é uma clara violação aos direitos individuais garantidos na constituição de 1988. O cidadão civil ou político que pratica algum tipo de ilícito também fazem parte dessa classe de bandidos. Este o mais grave, pois afetam de uma única vez milhares de pessoas. Evidencia-se, portanto, a necessidade de politicas publicas , com o apoio da mídia, valorizando a boa cultura. Esta seria a melhor arma no combate ao crime, pois alcançaria todos os segmentos da criminalidade."	3.50	1.00	1.00	0.50	0.50	0.50
"Direitos em conflito: liberdade de expressão e intimidade"	"Liberdade com responsabilidade"	"A Constituição Federal brasileira assegura aos cidadãos direito à informação a partir de diferentes e variadas fontes que garanta as liberdades de expressão e de imprensa. Também assegura que tudo que for relacionado a vida privada, intimidade, honra e imagem só dizem respeito a pessoa ou a quem ela autorizar. Porém, o que fazer quando esses direitos entram em conflito? Quando há conflito entre direitos como o de a liberdade de expressão e a inviolabilidade da intimidade do cidadão, é necessário analisar cada caso com muita cautela, para que não se cometa nenhuma injustiça. No entanto, sempre que for possível, a justiça deve prevalecer à liberdade de expressão sobre o direito à privacidade, pois o Brasil é um país democrático, onde todos os cidadãos tem direito de expor suas opiniões e também serem informados sem manipulações e censuras, para que assim a população tenha informações suficientes para tirarem suas próprias conclusões. Contudo, a liberdade de expressão nem sempre prepondera. Entre tantos exemplos tem-se de um ex-presidiário que entrou com uma liminar para impedir que um programa de televisão local transmitisse um documentário sobre o crime que ele cometera, o pedido foi negado, porém o ex-detento recorreu ao tribunal alegando que o documentário prejudicaria a sua ressocialização. Assim, ele conseguiu um acordo: a história do crime seria contada porém, seu nome e sua imagem não apareceriam no vídeo. Nesse caso, o direito de intimidade prevaleceu ao de liberdade de expressão, mesmo sendo um caso público, pois a exposição que ele sofreria iria prejudicá-lo ainda mais na sua reintegração. É necessário frisar, por outro lado que muitas pessoas cometem equívocos em nome da liberdade de expressão, como os nordestinos que são frequentemente satirizados em piadas de mau gosto por comediantes.Todos têm direito e liberdade de manifestar suas ideias e pensamentos, mas é necessário agir com ética, bom senso e respeito para com o próximo, para que não ocorra ofensas e desentendimentos. Diante disso, a liberdade de expressão tem limites, por isso é necessário que cada indivíduo exteriorize sua ideias e opiniões com prudência e sensatez para não violar a intimidade do outro. Assim, quando houver conflito entre os direitos a justiça deve, sempre que for concebível , preferir a liberdade de expressão para que essa não seja censurada, visto que em um país democrático como o Brasil ela é fundamental, por isso deve ser valorizada sempre."	7.50	1.50	2.00	1.50	1.50	1.00
"Perigos do universo digital"	"A importância da intervenção dos pais na vida virtual"	"Com a expansão do universo digital e com a facilidade de conseguir informações em questão de segundos, surgiram também muitos problemas relacionados ao bullying, à invasão de privacidade, ao fácil acesso de material pornográfico no meio virtual. E se não for feito nada a respeito , o problema continuará se agravando cada vez mais. Sem a intervenção dos pais, muitos jovens praticam atividades inapropriadas na internet, como compartilhar videos pornográficos, praticar bullying, e, até mesmo, hackear o computador de suas vítimas e roubar informações pessoais entre diversas coisas que também são ilícitas. A adolescência é um período de transição entre a infância e a vida adulta, um adolescente ainda não compreende o mundo que estará lhe sendo proposto, ou seja, a privacidade ainda é algo que lhe deveria ser proposta apenas na vida adulta, já que a fase adolescente é uma fase de ensinamentos , não é recomendável que um jovem tenha uma vida virtual e social oculta, pois é muito importante a colaboração dos pais para solucionar seus problemas e lhe dar alguns conselhos, broncas e corretivos (os jovens também devem se responsabilizar pelos seus atos!). Em suma, a intervenção dos pais é necessária para evitar tais atividades, assim haverão menos problemas tanto para os pais quanto para os filhos, pois deve-se educar os jovens hoje para não sofrermos más consequências no futuro."	5.00	1.00	1.00	1.00	1.00	1.00
"Direitos em conflito: liberdade de expressão e intimidade"	"Entre direitos individuais e escândalos políticos"	"Os direitos fundamentais contidos na Constituição Federal não são absolutos, salvo algumas exceções conflitantes entre especialistas, o que abre margem para discussões em casos em que há convergência de direitos. Esse é o caso da decisão judiciária aplicada aos jornais para a remoção das publicações que fizeram sobre o caso de Marcela Temer e do hacker, cuja repercussão se estabeleceu no impasse sobre quais direitos teriam prioridade: liberdade de expressão ou inviolabilidade da intimidade. Em uma primeira análise a inviolabilidade da intimidade teria prioridade sobre a liberdade de expressão, pois as formas midiáticas, a atividade artística, a música, etc. não necessitam de autorização para exercerem suas atividades, desde que não interfiram nos direitos de terceiros. Entretanto, quem é contra a decisão judiciária afirma que a ordem se trata de uma forma de censura, pois as imagens divulgadas do caso foram retiradas do processo judiciário público – isto é, qualquer pessoa tem o direito de acessar – e abordam tema de interesse social. Nessa disputa de censura ou violação da intimidade, observa-se que há interesse político, pois as informações atingem diretamente o atual presidente do Brasil, Michel Temer, o que prejudicaria sua reputação. Então chega-se há outra questão pertinente à população: até que ponto são verídicas as alegações do hacker, sendo ele um criminoso ou não. Afinal, os fragmentos de texto propagados na internet são dispersos e pouco se pode concluir, mas se há crime por de traz das ações do Presidente Temer, é necessário que haja investigação policial. Por conseguinte, conclui-se que houve censura por parte da decisão para minimizar futuros constrangimentos a Temer. Mas, sendo este uma figura pública, o caso diz respeito aos brasileiros, que não podem ser vendados diante dos diversos casos de corrupção envolvendo políticos. Inegavelmente, o ato de hackear é crime, e o executor desse caso está pagando sua pena, mas deveria ser aberto um novo processo – em segredo de justiça, para que não haja a inviolabilidade da imagem da pessoa – para descobrirem se existe ou não marqueteiro(s) à trabalho para o atual Presidente da República, pois a justiça deve ter prioridade sobre qualquer direito individual."	6.50	1.00	2.00	1.50	1.00	1.00
"Por que o Brasil não consegue vencer o Aedes aegypti?"	"Não é apenas dengue"	"É possível afirmar que a invencibilidade do mosquito transmissor se dá pela negligência da população quando se trata da prevenção do mesmo, ocasionando na proliferação do mosquito transmissor causador de várias doenças como: a dengue, a chikungunya e a febre zika, podemos perceber que o aumento de violência no país nos últimos anos acabou trazendo consigo o medo da população de deixarem funcionários do governo que combatem o mosquito entrarem em suas residências. Segundo Kant, o homem não é nada além do que a educação faz dele. Hoje no Brasil, a irresponsabilidade está presente na vida cotidiana, a falta de educação em prol da conscientização sobre doenças causadas por mosquitos e a falta de informação por uma parte da população acaba tornando um pequeno mosquito em um grande problema. Dessa forma, o aumento da violência influencia diretamente no combate ao transmissor principalmente em grandes capitais onde ocorrem casos de criminosos se vestirem de funcionários públicos que combatem o mosquito para adentrar as casas e furta-las . É essencial, portanto, que o governo invista na educação como medida em que a informação chegue a todos, podendo entender a real importância de tomar cuidados específicos para que não haja contaminações e pontualmente a conscientização de famílias em consonância com ONGs. Desse modo, fica mais evidente que Gandhi estava correto ao dizer: Temos de nos tornar na mudança que queremos ver."	2.50	0.50	0.50	0.50	0.50	0.50
"Escola no Brasil: com partido ou sem partido?"	"Escola Sem Senso Crítico"	"Em meio a recente polarização política, um debate vem ganhando relevância, o da escola sem partido. O projeto, segundo seus autores, tem como objetivo libertar o sistema de ensino da doutrinação esquerdista e da ideologia de gênero. No entanto, é irônico que um projeto que diz defender uma Escola Livre traga como resultado uma maior restrição ao sistema de ensino e um declínio ainda maior da relevância da escola como local de conhecimento. O projeto, apoiado pelas partes mais conservadoras da sociedade, traz como discurso a criação de uma educação neutra, o problema no entanto é que tal ideal não pode ser alcançado, tal visão imparcial nada mais é do que uma defesa do conformismo e manutenção do status-quo. À partir dessa ideia vaga é criada uma linha tênue do que pode ser ensinado e o que não pode. O que ali é ideologia e o que ali são fatos? O que ali pode estar atacando os valores morais ou religiosos de determinado aluno? Nesse espaço aberto a interpretações, encontra-se um constante policiamento e controle de qualquer discurso minimamente crítico. A Escola Sem Partido, portanto, não tem como objetivo livrar a educação de qualquer ideologia, mas permitir o perpetuamento de ideias defasadas e atrasadas. Usando de um discurso histérico e hiperbólico uma camada da sociedade defende seus ideias conservadores, impedindo que estes entrem em atrito ou sejam debatidos na escola, um ambiente em que o senso crítico deve ser deixado em casa."	10.00	2.00	2.00	2.00	2.00	2.00
"Terceirização: avanço ou retrocesso?"	"Terceirização do trabalho"	"A terceirização do trabalho tem sido um tema bastante discutido atualmente. Segundo o presidente do Tribunal Regional do Trabalho, Wilson Fernandes, com a aprovação da lei haverá uma grande precarização do trabalho. Se com as leis e direitos que temos hoje com a CLT, muitos trabalhadores já se sentem pouco favorecidos, com a terceirização do trabalho esses direitos seriam praticamente desconsiderados, ou seja, terceirizar seria o mesmo que abrir mão de direitos como férias anuais remuneradas e DSR, direitos outrora conquistados. Entretanto, enquanto uns se prejudicariam com a terceirização, outros se beneficiariam com ela , como as empresas que poderiam dispensar 10 funcionários e contratar outros 10, através de uma empresa terceirizada, com o salário inferior ao anterior e sem seus direitos trabalhistas, aumentando assim seu lucro. Portanto, medidas são necessárias para resolver o impasse. Em parceria com as empresas e sindicatos, o Ministério do Trabalho deve discutir medidas que não venham a afetar os direitos dos trabalhadores, bem como a redução do salário dos mesmos, mantendo assim o equilíbrio entre empregado e empregador."	5.00	1.00	1.00	1.00	1.00	1.00
"Estupro: como prevenir esse crime?"	"Estupro: de quem é a culpa?"	"O estupro é um crime em que a vítima tem o constrangimento de ser forçada a ter relações sexuais por meio de violência e até mesmo sob ameaças. Este tipo de crime tortura a vítima tanto fisicamente quanto psicologicamente, quando em alguns casos não levados à morte. E quando sobrevivem a tal ato de covardia, as marcas que são deixadas serão carregadas ao longo da vida . A vergonha, e a inibição sexual, são características psicológicas causadas pelo estupro, em que se desvirtua toda a vida da vítima. Mas de quem é a culpa? Muitas pessoas tem uma noção errônea de que a culpa é da mulher, por exemplo, quando ela sai as ruas sozinha, quando usam roupas curtas ou cor da pele e quando possuem uma condição de vida diferente dos padrões socialmente adequados, em que, ela estaria praticamente pedindo para que o ato ocorresse . Desse modelo, como disse Kurt Cobain “Estupro é um dos crimes mais terríveis da Terra. O problema dos grupos que lidam com o estupro é que eles tentam ensinar as mulheres como se defenderem. Enquanto que o o que precisa ser feito é ensinar aos homens a não estuprarem”. Observa-se que a sociedade ainda está presa na culpabilização da vítima, tornando o processo de redução do índice de abuso contra a mulher mais lento, pois as próprias mulheres violentadas se sentem na posição de culpa, na qual torna-se um dos motivos para que elas não procurem a justiça. Contudo, é necessário que crie-se novas leis com penas mais severas para que os estupradores, paguem realmente pelo mal que fizeram a sua vítima, assim, não prolongando mais o problema justificando seus erros colocando a culpa na mulher, pois com o tempo perdido procurando justificativa ou o culpado, mais pessoas são traumatizadas com o estupro ou mais vidas se perdem."	3.50	1.00	1.00	0.50	0.50	0.50
"Artes e educação física: opcionais ou obrigatórias?"	"Corpo em movimento"	"Atividades físicas e muito mais do que podemos fazer com o nosso corpo. E cuidar da saúde mas também se prevenir de doenças como diabetes, cardiacas, pressao alta e muitas outras causadas pelo excesso de peso. É pensando no bem de nossas crianças e adolescentes que temos que falar sobre essa matéria que apesar de não ser cobrada pelos órgãos públicos temos o direito de querer fazer do nosso corpo um bem preciosos para a nossa saúde mente e coração. Por isso que nosso corpo tem que estar em movimento seja pulando, correndo, andando nadando ou dançado , como vc preferir não importa o importante é estar saudável e sentir se bem então pense no bem estar que uma atividade física trás pra vc . É isso e pratique esporte porque ele salva vidas."	1.00	0.00	0.00	0.50	0.50	0.00
"Por que o Brasil não consegue vencer o Aedes aegypti?"	"Dura batalha"	"“Mudaram as estações, nada mudou...”. Esse é um trecho da música “Por enquanto” de Cássia Eller, que pode muito bem retratar o combate ao mosquito Aedes aegypti no Brasil. Passaram-se anos e a sensação é de derrota, pois pouco evolui nesse cenário. Um dos fatores para isso, é a cooperação da população. Não seguem as recomendações para evitarem água parada na sua moradia, jogam lixo na rua ou evitam a fiscalização dos órgãos. Além disso, as medidas são sempre as mesmas. Fiscalizações, cartilhas, campanhas etc. Se após longos períodos aplicando o mesmo “remédio” não surtiu efeito, o que é sensato: aumentar a dosagem ou mudá-lo? Certamente, mudar. Outro ponto importante é a nulidade da pesquisa científica nesse campo. Até o momento não foi desenvolvida uma vacina ou meios menos caseiros de evitar a contaminação em locais com maior incidência, como nas residências. Deste modo, seria interessante considerar fiscalizações agendadas nas casas, evitando o desencontro. E premiações ao desenvolvimento científico na área, incentivando melhores propostas nesse debate."	3.50	0.50	1.00	0.50	1.00	0.50
